id,text,keyword,user_name,date,location
1305657570774978560,Smoke from California wildfires causes hazy skies in Wisconsin ,,FireandAviation,2020-09-14 23:59:57+00:00,
1304359517552095235,96% Overwhelmingly Positive Reviews! Grab a friend and get in on the co-op FPS action!,,JoinDeepRock,2020-09-11 10:01:57+00:00,
1305657551703412736,So a 2-3 degree temperature difference is what is causing the same wildfires that’s been happening around the world for years in areas that are geographically located to easily produce wildfires by let’s say a cigarette thrown out a car on a highway?,,matthew_paul17,2020-09-14 23:59:52+00:00,
1305657540227850240,"@POTUS is right about the #wildfires Expert investigations show poor forest management , arsonists, camping, smoking, fallen power lines.. are to blame. If it is #global warming, why only on the E coast, why only in the US, &amp; why have they been happening since the 1930’s?",#wildfires #global,Josie95450522,2020-09-14 23:59:50+00:00,
1305657538281533440,Wildfires in California ARE caused by poor land management! ,,Arqahn,2020-09-14 23:59:49+00:00,
1305657534934659072,"BIDEN STRATEGY beyond Mail Ballots >YES: *CIVIL WAR* RIOTING DESTRUCTION WHILE SPREADING CV19 LIKE WILDFIRE &gt; WHILE REAL AMERICA LAWFUL CITIZENS ARE LOCKED DOWN &amp; FINALLY DEMS. CAN FINISH THE JOB THEY STARTED *8 + 4 yrs. ago* (OBAMA/BIDEN/CLINTON) ISLAMIC ""MURUNA"" CALIPHATE *NWO* ",,HIMENDTIMES,2020-09-14 23:59:48+00:00,
1305657532116086786,"Yeah - we have never had wildfires, floods or hurricanes.",,hockeylawdog,2020-09-14 23:59:48+00:00,
1305657531914571776,LNU Wildfire Recovery Updates ,,CountyofNapa,2020-09-14 23:59:48+00:00,
1305657518111289344,"Thanks, Lisa. I forgot the wildfires only started when Trump appointed his Secretary of Agriculture in 2017. You must be oblivious to the fact that Trump has worked to double the treated forest acreage in California to minimize these wildfires. Clown.",,JeffMooradian,2020-09-14 23:59:44+00:00,
1305657511400275968,"Anyone with half a brain watching knows that when he said explode he meant burn like wildfire, explode in flames. He didn’t say self-ignite. You people are so ridiculous. Thank you for continuing to embarrass yourself daily!",,Sob916,2020-09-14 23:59:43+00:00,
1305657494350573568,"Oregon Homeowners Warn Looters Amid Wildfire: ‘You Loot, We Shoot’ https://www.breitbart.com/politics/2020/09/14/oregon-homeowners-warn-looters-amid-wildfire-you-loot-we-shoot/ via @BreitbartNews Finally! Fight back the criminals ! #voteTrump2020",#voteTrump2020,Flaviod73256352,2020-09-14 23:59:39+00:00,
1305657456995991552,"So Wildfires, Floods and Hurricanes will go away if #JoeBiden is re-elected? 😂😂😂😂😂",#JoeBiden,TimBurnette1,2020-09-14 23:59:30+00:00,
1305657442156654592,Have you looked at the history of California wildfires since 1800. Careful where you build your home. ,,fowler_hank,2020-09-14 23:59:26+00:00,
1305657441644732417,"Per Trinity County Sheriff - The Post Mountain, Trinity Pines area is now under an Evacuation Warning. Increased fire activity in your area is possible. Hwy 36 remain open at this time. #evacuation #AugustComplex #wildfire",#evacuation #AugustComplex #wildfire,ShastaTrinityNF,2020-09-14 23:59:26+00:00,
1305657421482856449,"JoeBiden: .@realDonaldTrump, you know what’s actually threatening our suburbs? Wildfires. Floods. Hurricanes. We need to act on climate. Now.",,MdrnWrld,2020-09-14 23:59:21+00:00,
1305657416915263488,Is the media making the connection between wildfires and climate change? http://blogs.edf.org/climate411/2020/09/10/is-the-media-making-the-connection-between-wildfires-and-climate-change/ #HoodHealth,#HoodHealth,ThisHoodHealth,2020-09-14 23:59:20+00:00,
1305657410669944832,if the leaders worked on preventive protocols Jesus christ wildfires happen every year on the west coast by now someone would have it down to stop the fires quicker? congressional legislation How about going after Local leaders? instead of going after trump you Ignoramous ,,OCMDLIFER,2020-09-14 23:59:19+00:00,
